,precision,recall,f1-score,support
0.0,0.79,0.7,0.74,533.0
1.0,0.73,0.82,0.77,533.0
accuracy,0.76,0.76,0.76,0.76
macro avg,0.76,0.76,0.76,1066.0
weighted avg,0.76,0.76,0.76,1066.0
0.0,0.78,0.8,0.79,533.0
1.0,0.8,0.78,0.79,533.0
accuracy,0.79,0.79,0.79,0.79
macro avg,0.79,0.79,0.79,1066.0
weighted avg,0.79,0.79,0.79,1066.0
0.0,0.8,0.85,0.82,533.0
1.0,0.84,0.79,0.81,533.0
accuracy,0.82,0.82,0.82,0.82
macro avg,0.82,0.82,0.82,1066.0
weighted avg,0.82,0.82,0.82,1066.0
0.0,0.83,0.85,0.84,533.0
1.0,0.85,0.83,0.84,533.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.84,0.84,0.84,1066.0
weighted avg,0.84,0.84,0.84,1066.0
0.0,0.84,0.85,0.84,533.0
1.0,0.85,0.83,0.84,533.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.84,0.84,0.84,1066.0
weighted avg,0.84,0.84,0.84,1066.0
0.0,0.84,0.85,0.84,533.0
1.0,0.85,0.83,0.84,533.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.84,0.84,0.84,1066.0
weighted avg,0.84,0.84,0.84,1066.0
